epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,548.03,0.75631,3.05737,0.89248,0.70551,0.72924,0.78525,0.71549,0.44789,1.44082,0.82081,0.00333067,0.00333067,0.00333067
2,1096.75,0.59433,1.18197,0.85304,0.96882,0.95943,0.9878,0.90835,0.40929,0.67251,0.80847,0.00655404,0.00655404,0.00655404
3,1652.45,0.56228,0.84992,0.84614,0.99058,0.98164,0.99342,0.93176,0.36586,0.5359,0.79922,0.00966742,0.00966742,0.00966742
4,2203.03,0.49849,0.68246,0.83325,0.99222,0.98545,0.99434,0.95294,0.31158,0.40956,0.78838,0.009505,0.009505,0.009505
5,2760.22,0.43042,0.54581,0.8203,0.99374,0.9875,0.9946,0.96887,0.27453,0.32708,0.78028,0.00934,0.00934,0.00934
6,3309.82,0.39384,0.46781,0.81332,0.99412,0.98794,0.99473,0.97731,0.24731,0.27492,0.77543,0.009175,0.009175,0.009175
7,3890.56,0.36831,0.41876,0.80931,0.99546,0.98938,0.99485,0.9789,0.23999,0.23821,0.77497,0.00901,0.00901,0.00901
8,4445.91,0.35019,0.38733,0.80646,0.99632,0.98949,0.99489,0.98452,0.22026,0.2089,0.77163,0.008845,0.008845,0.008845
9,5000.77,0.33483,0.35865,0.80379,0.9959,0.99095,0.99487,0.9838,0.22207,0.19595,0.77025,0.00868,0.00868,0.00868
10,5584.02,0.32181,0.34194,0.80026,0.99695,0.99044,0.99493,0.9869,0.21015,0.18216,0.76736,0.008515,0.008515,0.008515
11,6131.1,0.31052,0.32853,0.79769,0.99721,0.99214,0.99496,0.98855,0.19912,0.17453,0.7662,0.00835,0.00835,0.00835
12,6680.84,0.30103,0.31843,0.79682,0.99747,0.9916,0.99492,0.98951,0.19362,0.16784,0.76549,0.008185,0.008185,0.008185
13,7246.9,0.29272,0.30786,0.79503,0.99778,0.99196,0.99495,0.98986,0.19091,0.16245,0.76478,0.00802,0.00802,0.00802
14,7797.44,0.28618,0.30281,0.79372,0.99788,0.99172,0.99496,0.99084,0.18179,0.15418,0.76328,0.007855,0.007855,0.007855
15,8358.09,0.27968,0.29053,0.79218,0.99621,0.99324,0.99495,0.99076,0.18052,0.14905,0.76237,0.00769,0.00769,0.00769
16,8915.6,0.27373,0.29065,0.79173,0.9969,0.99344,0.99498,0.99148,0.17382,0.1433,0.76202,0.007525,0.007525,0.007525
17,566.423,0.26699,0.2815,0.78989,0.99731,0.99307,0.99497,0.99173,0.17073,0.14138,0.76152,0.00736,0.00736,0.00736
18,1115.76,0.26123,0.27944,0.79065,0.99771,0.99272,0.99498,0.99234,0.16489,0.13666,0.76044,0.007195,0.007195,0.007195
19,1669.64,0.257,0.27277,0.78897,0.99727,0.9934,0.99498,0.99239,0.16312,0.13453,0.76031,0.00703,0.00703,0.00703
20,2220,0.25222,0.27129,0.78793,0.99825,0.99239,0.99497,0.99249,0.16319,0.13262,0.76005,0.006865,0.006865,0.006865
21,2770.95,0.24629,0.26467,0.78763,0.99763,0.99345,0.99498,0.99289,0.15523,0.12799,0.75894,0.0067,0.0067,0.0067
22,3340.8,0.24231,0.2605,0.78696,0.99773,0.99345,0.99498,0.99305,0.15382,0.12553,0.75872,0.006535,0.006535,0.006535
23,3896.63,0.23868,0.25872,0.78617,0.99786,0.99313,0.99498,0.99302,0.15274,0.12482,0.75833,0.00637,0.00637,0.00637
24,4454.78,0.23549,0.25767,0.78593,0.99725,0.99362,0.99498,0.99322,0.1505,0.12252,0.75806,0.006205,0.006205,0.006205
25,5010.59,0.23029,0.25148,0.78545,0.9983,0.99299,0.99499,0.99325,0.14834,0.11995,0.7578,0.00604,0.00604,0.00604
26,5567.92,0.22776,0.24836,0.78458,0.99825,0.99258,0.99499,0.99346,0.14537,0.11813,0.75744,0.005875,0.005875,0.005875
27,6175.09,0.2231,0.24468,0.78325,0.99795,0.99364,0.99499,0.99351,0.14461,0.11688,0.75708,0.00571,0.00571,0.00571
28,6725.74,0.21981,0.24325,0.78347,0.99749,0.99398,0.99498,0.9936,0.14329,0.11573,0.75687,0.005545,0.005545,0.005545
